soil_type,pH,nitrogen,phosphorus,potassium,organic_carbon,ec,rainfall,temperature,plant
Alluvial,7.3,249,32,337,0.86,2.28,1505.9,17.36,Peepal
Alluvial,7.23,575,5,144,0.58,2.94,1790.25,22.63,Peepal
Loamy,6.64,522,17,113,1.02,3.06,2574.2,26.72,Peepal
Alluvial,6.69,644,34,251,0.49,2.19,2262.43,28.12,Peepal
Alluvial,7.18,235,22,331,0.42,2.7,2198.26,23.34,Peepal
Alluvial,6.74,572,35,238,0.93,0.73,1495.61,29.12,Peepal
Alluvial,8.29,395,55,263,0.95,0.66,2198.35,20.78,Peepal
Alluvial,7.23,549,49,138,0.63,1.55,1597.88,23.27,Peepal
Alluvial,7.8,103,17,87,0.87,0.19,1965.63,31.69,Peepal
Alluvial,7.54,267,23,260,1.09,2.05,1971.45,20.46,Peepal
Alluvial,7.24,247,55,135,0.44,1.79,1896.74,24.97,Peepal
Loamy,6.99,631,41,312,0.37,3.39,2174.81,22.89,Peepal
Alluvial,7.11,311,20,113,0.48,0.34,1551.89,30.14,Peepal
Alluvial,6.72,122,52,217,0.39,2.39,931.8,22.04,Peepal
Loamy,6.27,352,9,174,0.87,1.57,2590.7,24.2,Peepal
Alluvial,7.84,686,49,97,0.96,1.28,1895.24,22.65,Peepal
Alluvial,7.12,128,21,184,0.35,0.39,2403.05,42.22,Peepal
Loamy,7.16,602,49,156,0.63,1.38,1602.33,20.74,Peepal
Loamy,6.98,319,60,64,0.61,2.18,2397.43,27.79,Peepal
Loamy,7.36,173,29,163,0.61,1.85,1746.49,27.68,Peepal
Loamy,7.0,291,12,149,0.89,1.54,1883.65,28.53,Peepal
Alluvial,7.3,151,58,190,0.32,0.55,2038.16,29.42,Peepal
Loamy,6.82,500,24,74,1.19,0.94,2046.14,24.51,Peepal
Loamy,6.43,430,37,132,0.65,2.42,2019.31,30.63,Peepal
Loamy,7.51,351,51,216,0.35,2.36,1729.97,29.27,Peepal
Loamy,7.19,601,20,376,0.9,2.4,1420.49,33.88,Peepal
Alluvial,7.49,383,55,191,0.66,3.38,1711.69,26.54,Peepal
Alluvial,7.67,616,10,276,1.04,1.05,2319.13,24.08,Peepal
Loamy,6.88,607,6,58,0.53,0.46,1797.52,31.7,Peepal
Loamy,6.95,549,9,167,0.32,2.87,2286.6,24.4,Peepal
Loamy,8.06,631,28,228,1.13,0.4,1911.18,21.72,Peepal
Alluvial,7.01,112,57,165,0.5,3.01,1705.65,28.69,Peepal
Alluvial,7.33,383,44,257,0.78,2.9,1754.54,21.71,Peepal
Loamy,7.32,479,30,288,1.18,1.2,2566.1,29.86,Peepal
Loamy,7.55,144,47,392,1.14,1.83,2051.29,28.65,Peepal
Alluvial,7.63,486,22,358,0.84,0.75,1695.56,35.29,Peepal
Loamy,6.46,590,28,311,0.59,1.52,2482.42,19.53,Peepal
Loamy,6.69,459,55,120,1.19,2.46,2149.17,30.73,Peepal
Alluvial,6.7,101,13,249,0.99,0.29,1716.67,29.06,Peepal
Loamy,7.35,202,30,103,0.84,1.54,1432.4,28.94,Peepal
Loamy,7.67,176,33,356,0.74,1.12,2020.19,16.36,Peepal
Alluvial,6.61,537,25,372,0.7,1.72,1601.55,15.45,Peepal
Alluvial,7.03,185,21,257,1.03,2.62,2136.13,18.25,Peepal
Loamy,6.66,379,19,196,0.72,1.19,1771.45,30.21,Peepal
Alluvial,7.53,607,55,261,0.51,0.69,1864.24,21.96,Peepal
Alluvial,6.8,491,16,81,1.05,1.66,1816.37,30.5,Peepal
Loamy,7.21,679,33,381,1.05,2.56,2352.58,22.32,Peepal
Alluvial,7.93,223,52,128,0.57,2.36,1647.39,16.9,Peepal
Loamy,7.28,185,60,137,1.02,0.76,1875.61,26.14,Peepal
Loamy,7.38,187,56,259,0.6,1.16,2034.97,27.63,Peepal
Loamy,7.17,437,57,54,0.43,0.25,1626.52,29.3,Peepal
Alluvial,6.49,476,59,281,0.66,1.97,1986.92,30.52,Peepal
Loamy,7.87,339,35,353,1.12,2.43,1843.02,22.46,Peepal
Loamy,7.49,666,32,396,0.75,1.87,1506.7,14.84,Peepal
Loamy,7.55,471,9,357,1.05,0.18,1392.83,28.45,Peepal
Alluvial,7.4,631,22,393,1.1,1.75,1282.35,23.74,Peepal
Alluvial,7.94,392,40,300,0.58,1.98,1820.76,26.46,Peepal
Alluvial,7.83,125,13,375,0.68,1.29,2218.21,18.82,Peepal
Loamy,7.84,376,42,378,1.1,2.28,1887.74,20.49,Peepal
Loamy,7.64,259,51,111,0.48,0.1,2095.26,24.07,Peepal
Loamy,6.92,403,5,307,1.06,1.66,1232.57,18.34,Mango
Loamy,5.95,121,56,127,0.42,1.32,1328.83,27.16,Mango
Loamy,7.53,583,54,211,0.88,3.06,1545.66,25.34,Mango
Loamy,6.4,612,35,256,0.63,3.07,1741.65,25.02,Mango
Loamy,6.16,595,60,369,0.71,2.91,934.37,30.01,Mango
Loamy,6.35,501,60,157,0.91,1.04,1096.45,25.79,Mango
Loamy,6.45,520,6,194,1.0,0.56,1387.88,27.87,Mango
Loamy,6.35,668,55,87,1.08,1.16,1597.33,22.35,Mango
Loamy,6.97,688,28,171,0.52,1.14,1260.65,25.99,Mango
Loamy,6.73,563,9,268,0.67,2.96,1267.81,21.46,Mango
Loamy,6.94,536,25,311,0.49,0.81,1365.18,26.3,Mango
Loamy,6.24,388,46,383,0.84,2.49,1224.96,22.94,Mango
Loamy,6.37,353,48,106,0.34,2.3,1208.15,26.64,Mango
Loamy,6.87,467,28,220,0.62,2.84,1563.38,34.99,Mango
Loamy,6.08,341,40,309,1.15,2.4,1323.54,24.66,Mango
Loamy,6.33,199,10,52,1.05,1.82,1527.42,22.82,Mango
Loamy,6.8,433,42,277,1.2,0.84,1254.16,26.59,Mango
Loamy,6.45,595,48,159,0.39,0.29,1670.56,19.35,Mango
Loamy,6.6,315,17,187,1.07,3.31,1432.11,34.28,Mango
Loamy,6.88,300,53,135,0.81,1.71,1514.35,22.38,Mango
Loamy,6.77,334,44,102,1.17,3.23,1471.1,24.89,Mango
Loamy,6.99,194,5,366,0.8,2.15,1362.64,21.17,Mango
Loamy,6.19,603,57,92,1.18,1.19,1262.14,24.24,Mango
Loamy,6.07,678,55,61,0.5,2.44,1019.02,24.14,Mango
Loamy,6.78,270,60,86,0.5,2.75,1271.31,29.91,Mango
Loamy,6.83,606,13,363,0.91,0.27,1303.0,31.41,Mango
Loamy,6.5,699,48,112,0.84,3.47,1188.85,24.94,Mango
Loamy,6.65,136,42,157,0.74,3.25,1052.24,24.48,Mango
Loamy,5.88,114,12,102,1.0,2.43,1658.89,33.98,Mango
Loamy,6.53,565,43,152,1.02,1.0,1178.07,22.6,Mango
Loamy,6.76,197,18,73,0.34,1.8,1210.47,34.85,Mango
Loamy,6.22,548,26,92,0.97,2.86,1225.55,25.99,Mango
Loamy,6.08,297,53,365,0.89,0.67,1463.03,29.04,Mango
Loamy,6.57,587,5,254,0.69,3.48,1316.72,31.58,Mango
Loamy,6.4,289,54,125,1.05,1.74,1373.26,24.25,Mango
Loamy,6.73,520,51,332,0.52,2.93,1088.23,29.36,Mango
Loamy,6.56,298,36,102,0.52,2.5,1324.4,29.74,Mango
Loamy,6.21,502,23,246,1.13,2.19,1295.6,25.1,Mango
Loamy,7.03,177,53,319,0.38,1.55,1422.54,35.31,Mango
Loamy,6.54,507,33,147,0.67,1.82,1076.13,32.88,Mango
Loamy,6.86,692,18,51,0.86,2.11,1511.01,25.54,Mango
Loamy,6.28,316,52,158,0.57,2.96,1084.09,22.37,Mango
Loamy,6.61,208,26,374,0.85,1.5,1232.51,25.71,Mango
Loamy,7.07,410,55,142,0.52,2.49,822.05,24.31,Mango
Loamy,6.36,432,10,344,0.62,1.55,1326.94,24.17,Mango
Loamy,6.7,142,31,368,0.69,1.32,1450.02,28.11,Mango
Loamy,6.53,684,58,132,0.36,2.93,973.5,30.7,Mango
Loamy,6.82,409,22,126,1.04,2.48,1469.59,22.23,Mango
Loamy,6.58,262,28,387,0.87,2.11,1240.79,20.88,Mango
Loamy,7.1,488,45,150,0.88,2.28,885.5,21.86,Mango
Loamy,6.52,179,54,286,1.02,1.01,1269.49,23.81,Mango
Loamy,6.58,321,43,218,0.63,0.63,1203.53,24.53,Mango
Loamy,7.39,327,43,54,0.71,1.76,1400.05,28.16,Mango
Loamy,6.08,154,54,313,0.6,3.37,1476.03,26.46,Mango
Loamy,6.34,242,27,300,0.77,3.37,1299.43,24.19,Mango
Loamy,6.31,218,60,332,1.16,0.1,1280.92,32.39,Mango
Loamy,6.74,239,7,252,0.88,0.33,1402.64,24.15,Mango
Loamy,6.65,655,26,152,1.13,1.69,1178.54,27.75,Mango
Loamy,6.61,609,22,127,1.07,1.51,1395.71,23.57,Mango
Loamy,6.25,632,16,193,0.94,0.5,1275.43,31.08,Mango
Loamy,6.37,109,48,344,0.5,2.7,1429.55,34.39,Mango
Loamy,6.09,253,44,76,1.18,1.07,1505.18,29.49,Mango
Loamy,6.95,254,60,113,0.61,0.53,1098.16,22.73,Mango
Loamy,6.27,473,34,288,0.51,0.43,1450.03,23.61,Mango
Loamy,6.39,273,41,194,0.67,0.84,1624.13,24.31,Mango
Loamy,6.67,100,13,324,0.44,0.12,1131.78,29.25,Mango
Loamy,7.07,625,57,315,0.47,2.16,1220.68,24.54,Mango
Loamy,5.94,642,32,254,0.81,2.84,1617.72,24.14,Mango
Loamy,6.57,141,20,237,0.44,2.72,1305.74,29.39,Mango
Loamy,6.44,604,46,206,0.46,1.83,1674.71,29.3,Mango
Loamy,7.05,418,60,139,0.58,1.93,1435.65,29.76,Mango
Loamy,6.61,244,13,60,0.82,1.7,1347.16,27.27,Mango
Loamy,6.77,633,34,285,1.02,2.48,1295.16,24.31,Mango
Loamy,6.88,251,43,308,0.46,3.35,1427.74,20.43,Mango
Loamy,6.24,263,22,381,0.81,1.25,1318.61,27.35,Mango
Loamy,6.58,144,57,112,0.96,2.76,1358.84,32.15,Mango
Loamy,6.25,414,35,232,0.56,2.58,1307.43,24.97,Mango
Loamy,6.47,284,11,163,0.48,1.16,1373.9,29.94,Mango
Loamy,6.33,461,32,158,1.17,1.18,1338.79,25.22,Mango
Loamy,6.81,357,12,260,0.67,2.09,1845.8,25.59,Mango
Loamy,6.6,376,23,233,0.69,1.39,1356.07,25.04,Mango
Loamy,6.64,369,33,73,0.59,0.17,1362.58,28.97,Mango
Loamy,6.58,511,16,372,0.42,0.39,1589.32,32.21,Mango
Loamy,6.75,272,30,139,1.01,2.21,1078.81,32.59,Mango
Loamy,6.64,184,20,311,0.33,1.72,1505.59,26.98,Mango
Loamy,6.46,530,32,105,0.67,1.26,1227.0,26.05,Mango
Loamy,7.01,496,60,208,1.09,0.31,1555.08,28.62,Mango
Loamy,6.48,617,44,280,1.17,3.03,1056.55,27.47,Mango
Loamy,6.44,552,27,307,0.4,3.5,1175.81,25.43,Mango
Loamy,6.16,182,7,83,0.32,2.28,1413.79,28.34,Mango
Loamy,6.6,525,59,127,1.08,1.72,1407.44,30.08,Mango
Loamy,6.54,175,15,113,1.14,1.54,1180.36,27.35,Mango
Loamy,6.05,196,29,152,1.02,1.04,1228.4,24.53,Mango
Loamy,6.39,538,10,294,0.84,2.89,1330.09,29.07,Mango
Loamy,6.88,332,16,211,0.72,0.42,1275.76,32.88,Mango
Loamy,6.6,348,16,385,0.54,3.44,1140.93,25.22,Mango
Loamy,6.29,644,12,223,1.0,2.84,1302.29,36.86,Mango
Loamy,6.23,246,43,72,0.76,0.27,1438.17,20.76,Mango
Loamy,6.76,327,51,73,0.54,0.43,1251.76,24.7,Mango
Loamy,6.47,608,39,68,0.53,0.73,866.69,28.1,Mango
Loamy,6.31,700,45,290,0.34,2.06,1316.62,24.66,Mango
Loamy,6.78,576,43,146,0.8,0.74,1064.02,26.96,Mango
Loamy,6.32,188,40,90,0.67,0.82,1293.96,31.88,Mango
Loamy,6.34,321,53,379,0.42,0.91,1335.09,25.54,Mango
Loamy,6.69,298,26,289,1.2,1.25,958.03,29.33,Mango
Loamy,6.19,152,9,110,0.43,2.8,1395.92,32.84,Mango
Loamy,6.57,637,23,344,0.46,3.48,1281.8,27.13,Mango
Loamy,6.08,561,27,134,1.12,1.52,1385.17,22.46,Mango
Loamy,6.83,323,26,132,0.68,1.48,1474.96,29.98,Mango
Loamy,6.47,557,12,195,0.65,1.62,997.18,17.08,Mango
Loamy,6.78,201,19,331,0.76,2.13,759.26,26.67,Mango
Loamy,6.53,316,49,171,0.61,1.24,1588.02,19.58,Mango
Loamy,6.25,340,49,385,0.82,1.03,1080.99,30.4,Mango
Loamy,6.37,522,29,398,0.6,1.02,1121.37,34.32,Mango
Loamy,6.79,459,39,192,0.38,0.31,1014.3,22.62,Mango
Loamy,6.65,117,13,80,0.3,2.63,897.09,26.5,Mango
Loamy,6.42,156,15,125,0.89,1.95,1075.72,31.1,Mango
Loamy,5.87,424,32,353,1.14,3.29,1595.66,18.22,Mango
Loamy,6.62,311,41,147,0.7,2.04,1261.76,27.18,Mango
Loamy,5.99,694,27,181,0.78,1.07,1466.15,35.75,Mango
Loamy,6.61,493,32,319,0.9,0.64,1581.3,22.3,Mango
Loamy,6.56,577,21,299,0.57,3.01,1203.7,32.64,Mango
Loamy,6.68,169,45,291,0.7,2.63,1451.76,26.35,Mango
Loamy,6.43,296,37,388,0.68,0.4,1148.69,24.45,Mango
Loamy,6.25,623,48,132,0.51,0.88,648.05,28.46,Mango
Loamy,6.45,551,32,175,0.38,2.6,1245.24,26.05,Mango
Loamy,6.3,402,51,156,1.1,3.19,1541.91,36.47,Mango
Loamy,6.32,632,26,309,0.34,2.51,1463.46,28.76,Mango
Loamy,6.3,431,35,264,0.95,0.75,1302.72,24.17,Mango
Loamy,6.31,312,32,334,0.52,3.45,1321.25,27.26,Mango
Loamy,6.22,606,44,195,0.48,0.22,1529.21,26.99,Mango
Loamy,6.71,543,50,296,0.77,1.36,1102.67,27.59,Mango
Loamy,6.39,215,14,158,1.12,1.63,1138.57,23.45,Mango
Loamy,6.37,139,14,252,0.87,1.71,1344.71,34.57,Mango
Loamy,6.11,388,60,250,0.9,2.66,1466.93,17.21,Mango
Loamy,6.69,454,5,107,0.7,1.66,1117.63,22.92,Mango
Loamy,5.9,181,18,380,0.67,2.51,1412.18,25.76,Mango
Loamy,6.49,636,50,336,0.74,1.35,911.96,29.27,Mango
Loamy,6.18,625,45,141,1.14,0.57,1255.92,24.08,Mango
Loamy,6.49,491,55,51,0.96,2.77,1068.47,24.32,Mango
Loamy,6.52,541,48,348,0.34,2.94,1582.74,31.01,Mango
Loamy,6.36,480,8,124,0.54,2.73,1337.22,30.39,Mango
Loamy,6.02,421,51,204,0.92,3.19,1168.84,28.19,Mango
Loamy,6.51,165,17,127,0.69,3.01,1159.38,29.35,Mango
Loamy,6.23,400,25,212,0.52,1.99,1220.42,35.72,Mango
Loamy,6.23,186,23,205,0.67,2.33,1062.15,23.38,Mango
Loamy,6.29,498,59,192,0.77,2.43,1234.82,27.15,Mango
Loamy,6.76,279,15,224,0.8,2.15,1335.78,30.7,Mango
Loamy,6.23,295,40,192,0.66,3.27,1317.09,19.25,Mango
Loamy,6.75,467,21,285,1.17,3.11,1588.71,23.48,Mango
Loamy,6.38,416,33,84,0.32,1.74,1265.6,26.23,Mango
Loamy,6.14,311,48,78,1.11,1.78,1240.01,26.07,Mango
Loamy,7.27,652,11,340,0.71,1.41,1339.46,28.65,Mango
Loamy,5.96,504,8,72,1.09,1.32,1185.45,27.64,Mango
Loamy,7.02,335,39,171,0.6,3.38,1357.46,24.9,Mango
Loamy,6.71,330,24,54,0.97,3.48,1447.63,26.08,Mango
Loamy,6.1,494,13,130,1.07,1.49,1418.05,23.72,Mango
Loamy,6.16,486,17,195,0.73,1.36,1453.71,26.36,Mango
Loamy,6.9,240,23,76,0.78,2.36,1578.85,27.61,Mango
Loamy,6.12,611,53,303,0.53,1.86,1378.7,20.51,Mango
Loamy,6.34,363,15,158,0.58,1.45,1487.82,21.85,Mango
Loamy,6.07,207,14,338,0.58,0.41,1247.1,24.83,Mango
Loamy,6.05,475,50,221,0.53,0.2,1519.97,24.47,Mango
Loamy,6.63,560,17,201,0.72,0.51,1376.45,26.5,Mango
Loamy,7.18,309,38,252,1.08,3.08,1352.83,29.91,Mango
Loamy,6.62,317,58,388,1.11,2.22,1252.06,23.39,Mango
Loamy,6.91,183,53,258,0.43,0.15,971.92,28.61,Mango
Loamy,6.73,324,13,351,0.76,2.98,1113.03,25.57,Mango
Loamy,5.95,436,36,158,0.49,1.17,1292.93,23.9,Mango
Loamy,6.7,337,39,118,1.01,2.61,1514.68,28.04,Mango
Loamy,6.71,232,49,85,0.33,0.35,964.76,34.66,Mango
Loamy,6.21,120,28,131,0.9,0.94,1352.5,31.4,Mango
Loamy,6.01,224,30,258,1.1,2.93,1326.88,23.38,Mango
Loamy,6.46,140,48,124,0.94,0.41,1173.6,30.03,Mango
Loamy,6.03,415,31,308,1.11,1.28,1458.92,30.15,Mango
Loamy,6.72,509,46,329,0.71,0.41,1054.63,29.48,Mango
Loamy,6.46,474,6,130,0.47,1.82,1067.35,23.75,Mango
Loamy,6.3,432,10,90,1.08,1.25,961.09,31.23,Mango
Loamy,6.67,659,60,360,0.41,3.32,1402.36,26.46,Mango
Loamy,6.69,344,43,60,0.64,0.71,1639.23,27.79,Mango
Loamy,7.43,354,52,218,0.45,1.8,1419.99,29.55,Mango
Loamy,6.45,424,25,369,0.58,2.17,1334.86,18.48,Mango
Loamy,6.99,415,42,348,0.63,1.37,1106.93,27.06,Mango
Loamy,6.37,481,11,96,0.91,1.2,1176.38,29.81,Mango
Loamy,6.74,192,49,152,0.5,2.86,1542.16,29.52,Mango
Loamy,6.21,148,14,99,1.14,3.42,1321.99,26.26,Mango
Loamy,6.46,290,43,286,0.85,0.1,1471.71,30.45,Mango
Loamy,6.31,598,18,116,1.02,1.23,1197.22,33.97,Mango
Loamy,6.5,179,41,381,0.39,0.53,1322.45,29.4,Mango
Loamy,6.58,201,58,132,0.33,1.64,1285.22,22.98,Mango
Loamy,6.9,333,27,332,0.82,2.42,1529.51,29.35,Mango
Loamy,5.9,267,23,349,0.98,3.35,937.15,18.4,Mango
Loamy,6.89,315,7,103,1.19,1.8,1341.04,21.76,Mango
Loamy,7.16,168,15,382,0.79,0.55,1453.26,19.5,Mango
Loamy,6.71,441,60,382,0.79,3.38,1423.71,21.72,Mango
Loamy,6.15,523,43,161,1.16,0.32,1248.51,33.91,Mango
Loamy,6.68,526,45,366,0.62,3.36,1628.76,23.05,Mango
Loamy,6.51,599,59,332,0.68,0.33,1371.12,28.96,Mango
Loamy,6.59,259,19,207,0.44,0.87,1477.35,32.59,Mango
Loamy,6.47,458,38,115,1.12,2.82,1152.15,23.75,Mango
Loamy,6.82,457,15,347,1.19,2.05,1203.61,31.59,Mango
Loamy,6.64,471,55,330,0.52,1.64,1309.64,24.1,Mango
Loamy,6.61,362,24,68,1.08,1.67,1176.19,31.98,Mango
Loamy,7.39,327,47,140,0.31,1.64,1350.85,26.34,Mango
Loamy,5.85,684,52,288,1.1,2.3,1156.83,31.35,Mango
Loamy,6.73,403,20,227,0.99,2.12,1119.23,33.94,Mango
Loamy,6.48,543,33,56,0.96,1.09,906.76,33.31,Mango
Loamy,6.6,120,58,300,0.97,2.63,1337.64,32.87,Mango
Loamy,6.47,479,24,134,0.31,0.63,1072.29,22.6,Mango
Loamy,6.43,624,19,290,0.57,0.36,1374.03,21.07,Mango
Loamy,6.18,275,49,319,0.96,1.31,1770.57,26.72,Mango
Loamy,6.71,350,44,317,0.51,3.23,1589.57,34.47,Mango
Loamy,6.39,427,15,66,0.39,2.29,1609.9,24.27,Mango
Loamy,6.39,404,28,66,0.36,1.65,1359.06,30.85,Mango
Loamy,6.07,666,22,198,0.34,2.08,1496.24,32.37,Mango
Loamy,6.52,202,6,358,0.89,1.44,1022.27,21.71,Mango
Loamy,6.9,457,13,395,0.78,1.36,1282.33,23.87,Mango
Loamy,6.89,231,19,170,0.93,3.37,1072.76,30.46,Mango
Loamy,6.36,184,50,57,0.99,3.33,1216.5,29.34,Mango
Loamy,6.03,542,58,240,0.94,0.78,1397.79,33.92,Mango
Loamy,6.45,278,44,177,0.95,2.39,1267.09,36.0,Mango
Loamy,6.58,700,59,276,0.3,2.3,1687.32,26.61,Mango
Loamy,6.47,258,23,137,0.67,1.03,1484.5,31.74,Mango
Loamy,6.44,141,9,112,0.86,1.85,1024.02,32.08,Mango
Loamy,5.81,420,6,319,0.57,1.66,1334.07,26.66,Mango
Loamy,6.19,554,35,241,0.51,0.23,1668.51,28.29,Mango
Loamy,6.45,276,15,218,1.01,3.41,1368.53,27.95,Mango
Loamy,6.52,387,50,121,1.18,1.29,1174.67,22.79,Mango
Loamy,6.15,582,53,205,0.79,1.4,1282.38,26.88,Mango
Loamy,7.0,403,53,241,0.62,1.6,1449.8,27.14,Mango
Loamy,6.85,364,47,210,0.62,3.43,1461.04,21.99,Mango
Loamy,6.35,207,54,129,0.42,3.03,1300.04,26.83,Mango
Loamy,6.06,505,20,131,1.03,1.92,1312.86,35.92,Mango
Loamy,6.29,400,50,342,0.39,1.91,1303.66,22.53,Mango
Loamy,6.65,487,59,105,0.37,3.45,1583.9,34.29,Mango
Loamy,6.54,548,30,126,0.8,0.32,1598.97,27.54,Mango
Loamy,6.77,612,13,285,0.6,1.07,893.93,23.88,Mango
Loamy,6.19,211,53,178,0.96,0.37,1577.23,25.21,Mango
Loamy,6.2,241,29,378,0.34,0.34,1333.12,24.32,Mango
Loamy,6.69,311,8,151,1.03,2.93,1269.21,27.34,Mango
Loamy,6.33,380,28,119,1.09,1.24,1546.09,31.3,Mango
Loamy,5.2,159,30,274,0.87,2.42,1277.19,21.45,Mango
Loamy,6.89,100,11,148,0.69,1.24,1124.15,20.75,Mango
Loamy,6.2,628,27,227,0.81,1.09,1052.54,29.85,Mango
Loamy,6.85,681,53,362,0.57,1.5,1095.55,24.46,Mango
Loamy,6.37,499,39,173,0.68,2.61,1490.3,36.48,Mango
Loamy,6.0,382,35,201,1.12,2.06,975.01,21.98,Mango
Loamy,6.86,540,34,87,0.42,2.95,1508.54,31.53,Mango
Loamy,6.42,585,49,347,0.34,3.12,1570.57,28.46,Mango
Loamy,6.72,171,32,192,0.73,1.7,1296.01,25.89,Mango
Loamy,6.79,571,18,72,0.52,1.65,1296.25,30.85,Mango
Loamy,6.69,570,16,266,0.55,2.98,1311.57,23.76,Mango
Loamy,6.26,436,11,313,1.2,1.85,1437.73,24.85,Mango
Loamy,6.58,478,9,112,0.34,1.31,1444.11,23.2,Mango
Loamy,6.8,472,59,253,1.07,1.25,1236.6,35.06,Mango
Loamy,6.45,404,20,355,1.16,2.67,1332.66,21.78,Mango
Loamy,6.33,354,15,370,1.15,0.55,1182.78,31.52,Mango
Loamy,6.65,102,15,146,0.62,0.64,1301.69,27.74,Mango
Loamy,6.43,198,26,165,1.16,1.23,1455.23,32.8,Mango
Loamy,6.37,411,47,98,0.92,0.33,1706.33,29.88,Mango
Loamy,6.02,439,51,176,0.38,1.11,1498.66,28.4,Mango
Loamy,6.51,238,5,367,1.18,2.49,1181.59,34.63,Mango
Loamy,6.37,671,6,296,0.79,1.01,1172.7,24.87,Mango
Loamy,6.12,406,60,65,0.7,2.82,1232.16,26.45,Mango
Loamy,6.58,684,59,265,0.94,1.5,1259.1,28.11,Mango
Loamy,6.68,114,19,328,0.66,1.63,1191.32,30.44,Mango
Loamy,6.34,547,19,130,1.06,0.2,1345.36,26.51,Mango
Loamy,5.96,675,51,209,0.77,0.47,1838.29,28.97,Mango
Loamy,6.63,188,28,232,0.91,0.59,1363.52,31.87,Mango
Loamy,6.75,399,33,148,1.1,0.26,1347.56,29.44,Mango
Loamy,6.62,566,42,349,0.99,1.66,1275.57,29.79,Mango
Loamy,6.57,318,11,273,1.06,1.53,1136.36,32.36,Mango
Loamy,6.49,188,39,96,0.95,2.57,1225.22,22.66,Mango
Loamy,6.19,568,41,251,0.37,1.37,1097.26,26.11,Mango
Loamy,6.29,503,58,281,0.36,2.93,1317.14,27.85,Mango
Loamy,6.48,139,44,278,0.77,3.29,1239.02,23.05,Mango
Loamy,6.27,566,20,368,0.93,2.38,1257.36,27.11,Mango
Loamy,6.24,529,55,390,1.01,0.14,1350.82,36.42,Mango
Loamy,6.6,208,39,59,0.99,0.67,1209.22,25.35,Mango
Loamy,6.58,346,30,384,0.98,2.67,1792.87,23.99,Mango
Loamy,6.53,304,33,149,0.35,0.31,1585.0,25.57,Mango
Loamy,6.63,195,35,365,0.55,2.95,1523.75,33.73,Mango
Loamy,6.56,341,10,90,1.05,0.37,1264.28,33.15,Mango
Loamy,6.83,506,11,356,0.79,2.55,1317.04,34.38,Mango
Loamy,6.86,266,21,53,1.19,3.1,1772.76,28.43,Mango
Loamy,5.78,537,14,260,0.54,1.92,1599.8,21.2,Mango
Loamy,6.99,207,27,231,0.82,2.86,1296.06,22.6,Mango
Loamy,6.81,594,5,200,1.16,1.31,1315.96,30.09,Mango
Loamy,6.39,642,43,208,1.15,1.09,1271.96,27.1,Mango
Loamy,6.43,377,54,134,0.98,0.6,1650.77,34.33,Mango
Loamy,6.9,218,47,340,0.36,0.91,1582.81,23.88,Mango
Loamy,6.12,393,13,316,0.73,2.92,1561.05,30.01,Mango
Loamy,6.63,422,47,68,0.75,1.86,1278.59,26.63,Mango
Loamy,6.92,207,57,345,0.67,2.53,1149.86,22.11,Mango
Loamy,6.51,171,35,266,0.63,0.74,1371.26,22.76,Mango
Loamy,6.66,552,26,199,0.35,0.46,1205.29,20.58,Mango
Loamy,5.96,234,50,280,0.65,0.98,1360.26,22.0,Mango
Loamy,6.39,627,35,323,0.8,0.89,1720.39,28.63,Mango
Loamy,6.72,606,24,187,0.88,2.93,1567.75,23.21,Mango
Loamy,6.64,166,46,56,1.0,3.03,1479.85,30.51,Mango
Loamy,6.84,144,47,86,0.84,3.44,1222.95,27.95,Mango
Loamy,6.51,157,23,221,0.84,2.52,1334.37,24.34,Mango
Loamy,6.69,646,18,158,0.81,2.19,1446.71,29.19,Mango
Loamy,7.01,296,18,108,0.87,0.69,1308.0,28.9,Mango
Loamy,6.48,390,58,61,0.76,1.36,1298.53,23.31,Mango
Loamy,6.95,537,36,86,0.63,2.94,1113.19,30.7,Mango
Loamy,6.55,258,13,298,0.6,2.62,1345.02,32.66,Mango
Loamy,6.12,489,14,334,0.61,1.42,1385.33,33.27,Mango
Loamy,6.18,109,16,233,0.34,2.77,1578.62,33.18,Mango
Loamy,6.66,328,13,270,1.11,1.35,1328.45,27.01,Mango
Loamy,6.51,682,27,370,0.66,1.53,1251.42,27.76,Mango
Loamy,6.1,591,5,329,1.07,2.51,1562.33,29.25,Mango
Loamy,6.64,276,17,221,0.33,2.17,1610.09,28.76,Mango
Loamy,6.75,373,35,137,0.42,3.16,1057.46,27.98,Mango
Loamy,6.48,252,21,124,0.87,3.31,1258.15,35.62,Mango
Loamy,6.25,524,54,76,0.87,3.24,1324.61,27.28,Mango
Loamy,6.77,458,18,293,0.78,2.47,1202.86,23.85,Mango
Loamy,6.3,179,43,326,0.94,2.69,1294.78,25.32,Mango
Loamy,6.48,547,36,268,0.44,0.73,1339.74,20.74,Mango
Loamy,7.13,262,30,374,0.49,1.38,1253.51,20.22,Mango
Loamy,5.92,569,36,264,0.97,3.02,933.52,20.58,Mango
Loamy,6.71,679,31,180,0.37,2.15,1265.38,27.97,Mango
Loamy,6.4,107,30,266,0.52,0.3,1287.59,22.68,Mango
Loamy,6.32,687,51,254,0.47,3.08,1110.46,32.83,Mango
Loamy,6.47,208,49,214,0.54,3.0,1458.28,33.92,Mango
